"order_id","yearmonth","total_amount","product_category_name"
"acc3d4031cbd2f28ac6b5b71427a054c",2017-01-01,130.75,"health_beauty"
"6c82197bc099415d9919ccb609a9c072",2017-01-01,202.71,"health_beauty"
"0dbfda5b69f9f25250969962f70929e9",2017-01-01,190.28,"health_beauty"
"e7bbb39c507d08caa0aee263d3d6ca55",2017-01-01,201.58,"health_beauty"
"77c75c0f9b0b1c5417b62c696c4734e5",2017-01-01,55.11,"electronics"
"eb87432d1b32d99db89d573d77767a01",2017-01-01,50.31,"electronics"
"74b9c5a1b6f7632750a25db4de597512",2017-01-01,53.42,"electronics"
"8c482c28bfcadc891bc37e13dc7ace34",2017-01-01,50.06,"electronics"
"d9a08faa201940dd3302f06944b5c739",2017-01-01,50.06,"electronics"
"1ef09d75953043a71a73428e15bc2f5c",2017-01-01,176.75,"health_beauty"
"5a37429384be05ca14780e4989543688",2017-01-01,74.59,"electronics"
"7b4fb0197b18a0fd0e75f9e44b3fc757",2017-01-01,121.62,"health_beauty"
"5d6e9993ecc20a59e637ce711858d081",2017-01-01,44.02,"electronics"
"d6d7c431275f0029dcc3538850930046",2017-01-01,161.71,"health_beauty"
"897702f9f3fe72f18863ffc09e7ddef3",2017-01-01,263.04,"electronics"
"4baa3882a6f5d47e5ac98cd10c942c4f",2017-01-01,115.71,"health_beauty"
"4baa3882a6f5d47e5ac98cd10c942c4f",2017-01-01,115.71,"health_beauty"
"81251f18621a822ad5b09593dfee4fc9",2017-01-01,22.46,"electronics"
"230c830e0ace11bcabaf63deebbee836",2017-01-01,44.95,"health_beauty"
"7ab9c55c59eaeea579d047e2d8aaed81",2017-01-01,22.46,"electronics"
"db4d2ecc1c1a157d6250c84dd86eb838",2017-01-01,200.04,"health_beauty"
"2457f30493cdc677ad02b57dd6d17285",2017-01-01,200.45,"health_beauty"
"c504b1d68ad8d98a627dadca7ca53673",2017-01-01,38.42,"health_beauty"
"3be9883ba4ef261dc194228abc739d0c",2017-01-01,41.32,"health_beauty"
"07d13d352c85dfbfa60dc56dea818335",2017-01-01,32.62,"health_beauty"
"1460b7b8fd63551dc68bfdffdc31edec",2017-01-01,103.91,"health_beauty"
"a2c7b8f8a4fe1bc4a8f4e30a5311861d",2017-01-01,74.49,"health_beauty"
"4269e9f98b1e74f0732bc93de6aaca6f",2017-01-01,331.21,"health_beauty"
"ea5f30a182b04fd1296273605983b9a4",2017-01-01,38.42,"health_beauty"
"ea5f30a182b04fd1296273605983b9a4",2017-01-01,38.42,"health_beauty"
"8cb07e7e810ad9e5f33062cb4735d488",2017-01-01,38.42,"health_beauty"
"d1b32a0715fa2abd2ff4f3ec5e751964",2017-01-01,274.94,"health_beauty"
"4799c38fa3f9263d65b42c5f923538c6",2017-01-01,181.84,"health_beauty"
"3498a243e9fe88c9c4ce97bf7fa4617c",2017-01-01,28.64,"health_beauty"
"3eceaafe1639eb6b25f3cd604891c218",2017-01-01,45.52,"health_beauty"
"903c880841c9b1af32d6d086b9763133",2017-01-01,43.26,"health_beauty"
"17f70d10c2acd50864b5dae4885894b5",2017-01-01,45.49,"health_beauty"
"1306d7999cdd320272eeea20f5768b77",2017-01-01,41.68,"health_beauty"
"49c89a2aba7f8f079681f6967d846465",2017-01-01,39.95,"health_beauty"
"28f5847427849401fb017537fd20da41",2017-01-01,41.93,"health_beauty"
"20de77e28f73070461781b0eb6228f6f",2017-01-01,32.62,"health_beauty"
"7a094f321857b6925fee399192bb5ebd",2017-01-01,41.93,"health_beauty"
"cedfe51bd6a794860c83382885f2328c",2017-01-01,41.93,"health_beauty"
"a50d16f8c24acdc0c3d2fe0af2cd5c87",2017-01-01,210.08,"health_beauty"
"a9506e4af5c19ca12362961efdefb20d",2017-01-01,34.86,"health_beauty"
"c6eb5dced200e49271f44b142658b6bb",2017-01-01,41.93,"health_beauty"
"d12824c34f6e0552f57e8d8821242084",2017-01-01,210.08,"health_beauty"
"338cd98c972c8d9b015759974ca7446c",2017-01-01,64.42,"health_beauty"
"9edaabce3c4beef5432b6327ade4109b",2017-01-01,218.3,"health_beauty"
